product_name,price_tag,currency (IDR),link_product
New Balance 1906R Urbancore Silver,1540000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-1906r-urbancore-silver-m1906rcb-ka/75104?from=search
New Balance 1906N Team Away Grey,1540000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-1906n-team-away-grey-m1906nb-ka/105478?from=search
Air Jordan 1 Mid SE Paris YMCA,1540000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-mid-se-paris-ymca-fz4359-200-ka/95731?from=search
New Balance 530 White Magenta,1550000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-530-white-magenta-mr530sgc-ka/108022?from=search
Air Jordan 1 Retro High OG Royal Reimagined,1550000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-retro-high-og-royal-reimagined-dz5485-042-ka/62931?from=search
New Balance 1906R Silver Metallic Sea Salt,1570000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-1906r-silver-metallic-sea-salt-m1906ree-ka/96268?from=search
adidas Samba Inter Miami CF Messi Pink,1580000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-samba-inter-miami-cf-messi-pink-ih8158-ka/103614?from=search
Adidas Handball Spezial Sandy Pink Gum (Women's),1600000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-handball-spezial-sandy-pink-gum-w-ig1977-ka/112339?from=search
Nike P-6000 Black,1600000,IDR,https://www.kickavenue.com/sneakers/nike/nike-p-6000-black-cd6404-002-ka/84736?from=search
New Balance 2002R Vintage Black Grey,1640000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-2002r-vintage-black-grey-m2002rbv-ka/113729?from=search
New Balance 2002R Navy Eclipse,1640000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-2002r-navy-eclipse-m2002rca-ka-2/38514?from=search
Adidas Handball Spezial Black Yellow,1640000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-handball-spezial-black-yellow-fx5676-ka/74066?from=search
Air Jordan 1 Retro High OG Green Glow,1640000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-retro-high-og-green-glow-dz5485-130-ka/103936?from=search
Air Jordan 1 Retro High Bloodline,1650000,IDR,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-retro-high-bloodline-555088-062-ka-2/5780?from=search
